Time (s) Run #1,,analog
531,640,274
532,640,274
533,642,268
534,642,265
535,642,279
536,642,275
537,642,270
538,642,276
539,642,278
540,642,274
541,642,278
542,642,278
543,642,278
544,642,281
545,642,278
546,642,277
547,642,272
548,642,271
549,642,270
550,642,270
551,642,271
552,642,270
553,642,271
554,642,273
555,642,272
556,642,262
557,642,261
558,642,258
559,642,255
560,642,257
561,644,270
562,644,270
563,644,274
564,644,278
565,644,280
566,644,278
567,646,276
568,646,275
569,646,277
570,646,279
571,646,277
572,646,280
573,648,284
574,648,268
575,648,264
576,648,262
577,650,263
578,650,264
579,650,269
580,650,267
581,652,268
582,652,268
583,652,268
584,652,268
585,652,269
586,652,268
587,652,269
588,652,269
589,652,273
590,654,271
591,654,271
592,654,271
593,654,272
594,654,274
595,654,275
596,654,275
597,654,277
598,656,275
599,656,277
600,656,260
601,656,258
602,656,259
603,658,261
604,658,270
605,658,273
606,658,274
607,658,269
608,658,266
609,658,265
610,658,256
611,658,253
612,658,251
613,658,267
614,660,270
615,660,274
616,660,277
617,660,277
618,660,275
619,662,275
620,662,275
621,662,279
622,664,282
623,664,271
624,666,285
625,666,280
626,666,281
627,666,279
628,668,277
629,668,282
630,668,280
631,670,278
632,670,281
633,670,276
634,672,265
635,672,275
636,672,277
637,672,277
638,674,278
639,674,278
640,674,277
641,674,278
642,674,276
643,674,276
644,676,276
645,676,275
646,676,274
647,678,277
648,678,277
649,678,278
650,678,281
651,678,282
652,680,282
653,680,285
654,680,285
655,682,286
656,682,283
657,682,288
658,682,282
659,684,262
660,684,267
661,684,290
662,684,289
663,684,281
664,684,281
665,684,280
666,686,280
667,686,280
668,686,284
669,686,275
670,686,277
671,686,280
672,686,282
673,686,280
674,686,280
675,686,279
676,686,279
677,686,278
678,686,276
679,686,278
680,688,276
681,688,277
682,688,279
683,688,281
684,688,281
685,688,285
686,688,294
687,688,268
688,688,268
689,688,266
690,690,266
691,690,266
692,690,266
693,690,266
694,690,265
695,688,265
696,688,265
697,688,265
698,688,265
699,688,263
700,688,263
701,688,262
702,688,263
703,688,263
704,688,263
705,688,262
706,688,263
707,688,263
708,688,250
709,688,251
710,688,262
711,688,264
712,688,264
713,688,265
714,690,264
715,690,264
716,690,265
717,690,264
718,690,265
719,690,266
720,690,267
721,690,267
722,690,267
723,690,266
724,692,266
725,692,264
726,692,256
727,692,266
728,692,265
729,692,266
730,692,266
731,692,256
732,692,251
733,692,250
734,692,262
735,692,257
736,692,254
737,694,252
738,694,249
739,694,249
740,694,247
741,694,260
742,694,261
743,694,260
744,694,263
745,692,265
746,692,258
747,692,257
748,692,258
749,692,265
750,692,265
751,692,267
752,692,265
753,692,267
754,694,272
755,694,270
756,694,273
757,694,284
758,694,289
759,694,272
760,694,271
761,694,281
762,694,279
763,694,267
764,694,267
765,694,258
766,694,259
767,694,263
768,694,257
769,696,261
770,696,271
771,696,271
772,696,265
773,696,271
774,696,273
775,696,252
776,696,257
777,698,248
778,698,253
779,698,253
780,698,248
781,698,240
782,698,241
783,698,251
784,698,247
785,698,246
786,698,251
787,698,250
788,698,251
789,698,250
790,698,252
791,698,252
792,696,251
793,696,250
794,696,250
795,696,250
796,696,251
797,696,251
798,696,252
799,696,249
800,696,249
801,696,250
802,696,247
803,696,247
804,696,250
805,696,241
806,696,249
807,696,247
808,696,249
809,696,241
810,696,248
811,696,248
812,696,245
813,696,244
814,696,251
815,696,249
816,696,246
817,696,246
818,696,250
819,696,247
820,696,249
821,696,249
822,696,249
823,696,246
824,696,247
825,696,246
826,696,246
827,696,244
828,696,244
829,696,244
830,696,247
831,696,248
832,696,247
833,694,245
834,694,241
835,694,255
836,694,253
837,694,252
838,694,250
839,694,251
840,694,247
841,694,247
842,694,244
843,694,246
844,694,249
845,694,252
846,694,252
847,694,254
848,694,254
849,696,255
850,694,255
851,694,253
852,694,253
853,694,247
854,694,247
855,694,255
856,694,251
857,694,250
858,694,247
859,694,245
860,694,243
861,694,249
862,694,249
863,694,247
864,694,246
865,694,245
866,694,245
867,694,244
868,696,244
869,696,247
870,696,247
871,696,250
872,696,251
873,696,249
874,696,247
875,696,247
876,696,249
877,696,249
878,696,244
879,696,243
880,696,247
881,694,241
882,694,256
883,694,250
884,694,247
885,694,246
886,694,240
887,694,248
888,694,243
889,694,257
890,694,256
891,694,253
892,694,254
893,694,254
894,694,256
895,694,254
896,694,253
897,694,253
898,694,254
899,694,254
900,694,253
901,694,251
902,696,243
903,696,244
904,696,252
905,696,252
906,696,252
907,696,253
908,698,252
909,698,250
910,698,245
911,698,243
912,698,240
913,698,244
914,698,244
915,700,240
916,700,238
917,700,244
918,700,241
919,700,243
920,700,234
921,700,234
922,700,244
923,700,234
924,700,239
925,700,247
926,702,247
927,702,247
928,702,247
929,702,247
930,702,243
931,702,247
932,702,247
933,702,248
934,702,248
935,704,248
936,704,248
937,704,247
938,704,243
939,704,243
940,704,241
941,704,247
942,704,249
943,704,247
944,706,246
945,706,243
946,706,242
947,706,241
948,706,250
949,708,246
950,708,247
951,708,247
952,708,248
953,708,244
954,710,249
955,710,248
956,710,249
957,712,250
958,712,252
959,714,252
960,714,250
961,714,252
962,714,259
963,714,255
964,716,253
965,716,255
966,716,255
967,716,252
968,716,253
969,718,251
970,718,250
971,718,253
972,720,253
973,720,253
974,720,253
975,722,252
976,722,253
977,722,250
978,724,249
979,724,256
980,724,251
981,724,254
982,724,253
983,726,253
984,726,252
985,726,251
986,728,249
987,728,245
988,728,251
989,730,251
990,730,251
991,730,248
992,730,250
993,730,244
994,732,251
995,732,250
996,734,250
997,734,252
998,734,250
999,736,251
1000,736,251
1001,736,245
1002,738,251
1003,738,242
1004,738,250
1005,738,251
1006,740,251
1007,740,251
1008,742,252
1009,742,253
1010,742,253
1011,744,253
1012,744,256
1013,746,256
1014,746,254
1015,746,254
1016,748,253
1017,748,249
1018,748,254
1019,750,254
1020,750,249
1021,752,249
1022,752,247
1023,752,247
1024,754,251
1025,754,252
1026,754,253
1027,756,252
1028,756,252
1029,756,244
1030,756,245
1031,756,250
1032,756,244
1033,758,248
1034,758,250
1035,758,247
1036,758,242
1037,758,244
1038,760,245
1039,760,247
1040,760,245
1041,760,246
1042,760,247
1043,760,245
1044,760,243
1045,760,241
1046,762,246
1047,762,244
1048,762,245
1049,762,246
1050,762,245
1051,760,246
1052,760,250
1053,760,250
1054,760,250
1055,760,251
1056,760,249
1057,760,249
1058,760,248
1059,760,248
1060,760,245
1061,760,246
1062,760,248
1063,760,250
1064,760,252
1065,760,249
1066,758,250
1067,758,253
1068,758,253
1069,758,255
1070,758,253
1071,758,254
1072,758,253
1073,758,256
1074,758,256
1075,758,253
1076,758,255
1077,758,256
